iter	Passed	Remaining
0	1	155
1	2	122
2	3	109
3	4	96
4	4	92
5	5	88
6	6	85
7	7	83
8	8	81
9	8	79
10	9	78
11	10	76
12	11	75
13	12	74
14	12	73
15	13	72
16	14	71
17	15	70
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	26	60
30	26	59
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	33	53
38	33	52
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	30
65	57	29
66	58	28
67	59	28
68	61	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	75	16
82	76	15
83	77	14
84	79	13
85	80	13
86	81	12
87	83	11
88	84	10
89	85	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
